date,sourceType,xeroId,contact,description,accountCode,accountName,accountType,accountClass,lineAmount,taxType
2026-06-19,ACCPAY bill,18ed16c4-8869-4010-883d-2adad8b21b25,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,13.35,INPUT2
2026-02-25,ACCPAY bill,19520260-e2bf-4f2c-80f3-948cc495c84d,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,22.15,INPUT2
2026-06-17,ACCPAY bill,1a69c90b-8075-42ed-8093-82899509b589,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,124.63,INPUT2
2026-01-28,ACCPAY bill,1ad8bd19-d8e2-4905-95ad-1c68a1d6dc2f,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,37.58,ZERORATEDINPUT
2026-06-17,ACCPAY bill,1de24306-31f7-4664-b62b-33b2e2c966e2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,18.9,INPUT2
2026-06-17,ACCPAY bill,1de24306-31f7-4664-b62b-33b2e2c966e2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-02-18,ACCPAY bill,1e6ca8b4-c8c3-428a-b484-a9c26056611a,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,90.6,INPUT2
2026-05-22,ACCPAY bill,1ed3b557-a7dc-4483-9c83-a373ee4bd82c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,31.4,INPUT2
2026-05-22,ACCPAY bill,1ed3b557-a7dc-4483-9c83-a373ee4bd82c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-04-21,ACCPAY bill,1f26c2d8-9287-40c4-bff8-f97858f5b717,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,103.35,INPUT2
2026-05-29,ACCPAY bill,267e58de-c2ab-42a0-bf4a-18110eba1b9a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.08,INPUT2
2026-06-11,ACCPAY bill,28826110-015d-42bb-bc61-a8c207149ca3,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,8.84,INPUT2
2025-11-19,ACCPAY bill,28e53482-9cfe-40a5-8529-891178974799,Napa Auto Parts,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,134.98,INPUT2
2026-02-27,ACCPAY bill,29b571bc-3e25-4e32-bb24-a21f91f9639e,Greno Garage & Engineering Ltd,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,120,INPUT2
2026-06-03,ACCPAY bill,2a6ce1d2-5ad0-48c7-bae2-23b2f3fd9e26,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,124.63,INPUT2
2026-06-03,ACCPAY bill,2ab4a781-9b98-463b-80f7-fdbc5e121703,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,180,INPUT2
2026-06-03,ACCPAY bill,2ab4a781-9b98-463b-80f7-fdbc5e121703,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,300,ZERORATEDINPUT
2026-02-24,ACCPAY bill,2bf372d2-f01d-4fa8-9e61-e228a53a57b1,Volkswagen Group United Kingdom,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,51.4,INPUT2
2026-02-24,ACCPAY bill,2bf372d2-f01d-4fa8-9e61-e228a53a57b1,Volkswagen Group United Kingdom,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-12,ACCPAY bill,2d841b38-9957-470e-a7f0-4e7bae3fa0a6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,217.74,INPUT2
2026-01-31,ACCPAY bill,2efefd0c-f39a-4088-ab34-418a07829094,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,2708.33,INPUT2
2026-05-05,ACCPAY bill,2f57b4ba-ec94-409b-a72a-6c6cf3ce6257,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,22.05,INPUT2
2026-06-01,ACCPAY bill,317f3f4a-9e5f-43d7-9a70-285ca0e81e39,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,41.7,INPUT2
2025-12-01,ACCPAY bill,31835efe-9591-4fd0-9315-8092eb6340f3,LEEDS UNIQUE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,42.98,INPUT2
2026-06-01,ACCPAY bill,32139f40-c594-42da-978f-5bc4a3bcce48,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,14.3,INPUT2
2026-06-01,ACCPAY bill,32139f40-c594-42da-978f-5bc4a3bcce48,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-25,ACCPAY bill,33959302-17ba-42c4-b8d9-d41b703ea2e3,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,36.85,INPUT2
2026-06-25,ACCPAY bill,33959302-17ba-42c4-b8d9-d41b703ea2e3,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-03-18,ACCPAY bill,35941fc9-70fa-424e-8943-5a4ad8b0a250,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,45.3,INPUT2
2026-05-19,ACCPAY bill,35b54ba8-36fb-40ea-8a11-8f97bc524651,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,150.08,INPUT2
2026-05-28,ACCPAY bill,35c1d466-2626-48df-9355-8945f1583a52,Amazon,---,325,Direct Expenses,DIRECTCOSTS,EXPENSE,16.65,INPUT2
2026-05-28,ACCPAY bill,35c1d466-2626-48df-9355-8945f1583a52,Amazon,---,325,Direct Expenses,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-04,ACCPAY bill,365a31ee-fa54-473f-a3af-6518216b93b1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,129.8,INPUT2
2025-11-10,ACCPAY bill,389e2185-f4b5-481d-903c-e720bd5123ae,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,124.48,ZERORATEDINPUT
2026-06-16,ACCPAY bill,3cfaaef6-2f27-4d13-9fe0-9f730601840f,TRADE SAVERS,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,13.58,INPUT2
2026-06-08,ACCPAY bill,3ebb9311-4368-41e6-8c85-8d888a3fb215,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,7.78,INPUT2
2026-06-16,ACCPAY bill,3f76f7a2-ff1d-43e3-86ac-7e4726e6fbc4,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,73.2,INPUT2
2026-06-16,ACCPAY bill,3f76f7a2-ff1d-43e3-86ac-7e4726e6fbc4,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-01-10,ACCPAY bill,410a703a-bb1a-4089-a5ef-b540f10e0248,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,24.9,INPUT2
2026-05-26,ACCPAY bill,414e1978-97fe-4598-951b-d2b814fa5ed9,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,99.65,INPUT2
2026-05-26,ACCPAY bill,414e1978-97fe-4598-951b-d2b814fa5ed9,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-24,ACCPAY bill,42685db8-431b-42d2-bed4-5b09b186aa60,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,78,INPUT2
2026-06-04,ACCPAY bill,4274dd6b-f85d-48ab-a729-91da06bb5871,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,16.44,INPUT2
2026-06-24,ACCPAY bill,42ff4524-d8d3-4e11-bd84-c42e151fddab,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,30.64,INPUT2
2026-06-11,ACCPAY bill,432b955b-b07a-4700-a7bc-bf52ee5d8736,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.4,INPUT2
2026-06-11,ACCPAY bill,432b955b-b07a-4700-a7bc-bf52ee5d8736,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-01-16,ACCPAY bill,44229e77-01f6-4e66-8259-2e13df775d47,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,143,INPUT2
2026-06-04,ACCPAY bill,44a38f6b-e827-4b5f-abe0-fd7f6657b7a7,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.85,INPUT2
2026-06-04,ACCPAY bill,44a38f6b-e827-4b5f-abe0-fd7f6657b7a7,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-05-26,ACCPAY bill,45c32c3c-8ba8-40e6-9a8f-a363477000c8,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,146.28,INPUT2
2026-06-02,ACCPAY bill,46befe40-7ac5-48c8-aa28-35e9ba2ce402,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,72.28,INPUT2
2026-06-09,ACCPAY bill,490905d3-9552-4c1f-807b-4083f7b9c4c1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,48.24,INPUT2
2026-06-16,ACCPAY bill,4cb44425-ae9b-4a1b-8373-d54ac180eb85,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.55,INPUT2
2026-06-16,ACCPAY bill,4cb44425-ae9b-4a1b-8373-d54ac180eb85,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-25,ACCPAY bill,4cdaf026-e5f8-4734-bb44-36faa1ffeeec,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,50.6,INPUT2
2026-06-25,ACCPAY bill,4cdaf026-e5f8-4734-bb44-36faa1ffeeec,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-09,ACCPAY bill,4d353f1e-b6e8-4528-ba07-31dd3f8d79c7,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.5,INPUT2
2026-06-09,ACCPAY bill,4d596b9c-3b1c-4e3e-a244-4db520e255be,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,40.39,INPUT2
2026-06-16,ACCPAY bill,4f7166eb-ecf5-4344-8650-83357fe4b1ff,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,15.65,INPUT2
2026-06-16,ACCPAY bill,4f7166eb-ecf5-4344-8650-83357fe4b1ff,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-05-19,ACCPAY bill,5013f241-c49b-454a-ae57-88fa9dfba7ef,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,6.9,INPUT2
2026-06-12,ACCPAY bill,51291e87-c33a-4ab6-9073-d1614f996e2a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,21.35,INPUT2
2026-06-12,ACCPAY bill,51291e87-c33a-4ab6-9073-d1614f996e2a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-15,ACCPAY bill,514cbe09-0649-49e0-82aa-7aa4cdba058c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,14.85,INPUT2
2026-06-15,ACCPAY bill,514cbe09-0649-49e0-82aa-7aa4cdba058c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-26,ACCPAY bill,577efa8c-3c4e-4b8b-a032-4ae4df181466,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,32.64,INPUT2
2026-06-01,ACCPAY bill,58438037-1212-4886-abfb-d699d4e06f1e,AZ Motor Spares,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,91.64,INPUT2
2026-01-19,ACCPAY bill,5bc47e2f-bb72-44ae-bfb5-c739adba305b,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,41.98,INPUT2
2026-05-19,ACCPAY bill,5c3c1a3e-a8dd-4211-b154-015c1d397e3c,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,39.99,INPUT2
2026-06-05,ACCPAY bill,5d1aa31a-1d1f-41cf-92ee-b5b7813282a6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,46.63,INPUT2
2026-05-22,ACCPAY bill,5ded368b-35ce-4dc7-9b00-100774e6f348,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.2,INPUT2
2026-05-22,ACCPAY bill,5ded368b-35ce-4dc7-9b00-100774e6f348,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-05-30,ACCPAY bill,5fb0b506-8c2a-4ff9-8318-452beed56502,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,235.84,INPUT2
2026-05-17,ACCPAY bill,5fc6ec74-2505-48c1-b677-75f065c38778,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,32.9,INPUT2
2025-11-20,ACCPAY bill,60594def-6f36-4faf-89cb-f86158153f18,Perrys Motor Sales,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,180.2,INPUT2
2026-06-01,ACCPAY bill,606900df-dc15-487c-b434-ac57b511ff1e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,92.69,INPUT2
2026-01-12,ACCPAY bill,60c9961c-2fc7-48a7-a69b-bb2e2af1ee59,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,70.3,INPUT2
2026-05-29,ACCPAY bill,6101fcd5-488e-41c8-91d4-8c0de92f769f,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,56.48,INPUT2
2026-06-20,ACCPAY bill,613fc5a9-b9bd-4eb9-92bf-cb5972dcf8cf,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,42.2,INPUT2
2026-06-20,ACCPAY bill,613fc5a9-b9bd-4eb9-92bf-cb5972dcf8cf,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2025-11-20,ACCPAY bill,6267de67-084d-4fba-bda1-c19ca2de7ee2,AZ Motor Spares,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,25,INPUT2
2026-05-28,ACCPAY bill,631b6ce0-0069-4d0b-9db5-67f823afb15a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,29.18,INPUT2
2026-06-02,ACCPAY bill,638f4232-3362-4043-a2ae-26a834d204e2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,17.4,INPUT2
2026-06-16,ACCPAY bill,64aef9c8-e32f-44e0-b168-36029ace2d19,TPS Huddersfield,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,162.9,INPUT2
2026-03-23,ACCPAY bill,66720b5f-021e-40f7-87e9-0158ddc3ced5,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,47.92,INPUT2
2026-04-24,ACCPAY bill,67c53554-acf0-4341-a996-e14da2d4fe2f,LEEDS UNIQUE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,53.58,INPUT2
2026-01-12,ACCPAY bill,68f0f4eb-f6b9-46df-8929-3c35a9def442,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,26.98,INPUT2
2026-03-20,ACCPAY bill,69041715-fa0f-407f-be86-a9f55ba39726,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,47.6,INPUT2
2026-04-23,ACCPAY bill,6972b607-aefa-429f-8178-d1f5971497fb,BMW Service Sandal Wakefield,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,89.95,INPUT2
2026-04-23,ACCPAY bill,6972b607-aefa-429f-8178-d1f5971497fb,BMW Service Sandal Wakefield,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-05-22,ACCPAY bill,6b124544-e84c-4254-bed4-4be9cbe3697c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,7.64,INPUT2
2026-01-16,ACCPAY bill,7025a695-7d1c-4300-936e-8e952a037ad5,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,17.35,INPUT2
2026-02-17,ACCPAY bill,717acf9f-b723-401e-b2b0-db54b6ba8fb8,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,90.6,INPUT2
2026-05-27,ACCPAY bill,71e4e478-e1c3-4ec0-a252-a6a4a2a9d25a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,78,INPUT2
2026-06-09,ACCPAY bill,736f9a5e-e7cb-4669-8bd7-fff9eafeeef6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.13,INPUT2
2026-06-05,ACCPAY bill,753535cd-137d-4ffc-ad83-8f203f309822,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,9.35,INPUT2
2026-06-03,ACCPAY bill,76999af3-9149-437e-81d6-517248db6b1f,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,652.08,INPUT2
2026-06-09,ACCPAY bill,781e553e-8140-4204-82d1-32716e6a8288,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,17.65,INPUT2
2026-05-27,ACCPAY bill,798c30ca-2bcf-43b4-a592-4adf9339f2b0,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,78,INPUT2
2026-03-14,ACCPAY bill,7a88e708-0663-46cf-8a2b-f69da9174854,Volkswagen Group United Kingdom,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,53.5,INPUT2
2026-02-23,ACCPAY bill,7ac15546-bd15-4b81-a8f6-6a7579a1d5dc,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,83.4,INPUT2
2026-06-16,ACCPAY bill,7baf887f-d08b-4316-b8b5-e73672f08368,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,281.75,INPUT2
2026-06-16,ACCPAY bill,7baf887f-d08b-4316-b8b5-e73672f08368,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2025-11-03,ACCPAY bill,7ea2ad9e-fb95-42b7-b65c-4e2e39f6bc02,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,312.01,INPUT2
2026-06-18,ACCPAY bill,81e85b6e-a01e-48de-96b7-aeb19d26d793,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.8,INPUT2
2026-06-18,ACCPAY bill,81e85b6e-a01e-48de-96b7-aeb19d26d793,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
